table,name,type,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_1,ciechanowiec,town,1166,699,600,600,600,600,600,600,600,600,600,294,321,253,600,226,242,242,247,300,241,,186,,241,,,,600,,,,155,,,,,,,,,,,,,,,,,
table_1,debica,town,,,,,,,,,,,,,,500,,,500,500,500,500,500,500,500,,,,,,,500,500,500,500,500,500,500,500,,500,,,500,500,500,500,500,,500,500,911
table_1,jablonka,town,,,,,,,,,,,,,,100,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,97
table_1,grodzisk,town,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,80,
table_1,jozefow,town,,,,,,,,400,248,,,,400,400,400,400,400,400,400,400,400,400,400,100,,400,,,,,,400,400,,,,,,,,400,,,,,,,,400,845
table_1,kazimierz,town,3174,3172,2462,2904,4200,2285,3992,2441,5262,4150,4330,6390,6713,6058,7135,4758,1803,1803,6223,3668,3819,3929,3819,4000,4760,4400,4413,4161,4493,4493,4493,5693,4488,7075,5430,5174,4456,4973,5164,4562,,3904,3489,3732,3675,1033,2375,,2375,3457
table_1,lublin,town,,,,,,,228,221,2322,1708,2468,2614,3221,2146,1154,1443,1773,1066,970,400,,,,482,505,246,,620,300,260,160,1200,1518,2623,1430,424,2332,960,236,1814,,1107,1438,1935,1540,2051,423,30,30,1383
table_1,miedzyrzecz_podlaski,town,,,,,1200,1390,1200,1200,,,,,,,,,1218,1218,,1200,,,,,,,,1200,1200,,,1663,,,,,400,600,200,,,,,800,600,600,,600,600,1076
table_1,poznan,town,3322,3322,,,2067,2068,2536,,,,1760,,,,,,,,,,,,2358,,,,3340,,3100,,4292,3110,3064,,4616,,3118,2720,3528,3623,,3485,2706,3521,3417,,,,3417,1951
table_1,wysokie_mazowieckie,town,,,,,,,,,,,,,100,100,,,110,160,170,,170,,170,,200,,,,,,,,280,,,,,,,,,,,,,,,,280,62
table_1,lublin,suburb,,,,,,,,,,,,,,,,2196,1100,1100,1100,900,1854,1850,1950,1230,1810,1730,720,2900,2297,2210,3131,500,1127,206,308,938,,,2288,,,,,,,,,620,620,728
table_1,wysokie_mazowieckie,villages,,,,,,,,,,,,,179,147,,224,108,83,65,200,89,,124,,159,,,,,,,,165,,,,,,,,,,,,,,,,165,498
table_1,lublin,villages,,,,,,,,,,,,,,,,,,,,,,423,,540,660,,,530,622,292,210,398,192,390,186,470,,,72,,,,,,,,,,72,251
table_1,jozefow,villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
table_1,kazimierz,villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420
table_1,przemysl,town,2888,2886,1801,2469,2139,2112,1368,1871,,,,,,,,,1683,1686,1560,1560,1628,1671,1622,1600,1279,818,1638,1728,2068,2068,1968,2008,1743,1593,2883,1153,1172,1200,2874,1563,1408,2145,1345,1542,1225,1677,2000,,2000,2418
table_1,glusk,villages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
table_1,siemiatycze,town,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_1,koscielna_nur,town,,,,,,,,,,,,,,,,50,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,40,
table_1,miedzyrzecz_korecki,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,
table_1,glusk,town,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,700,,,,,,,,,,,,,,,700,268
